"X","X0","X1","X2","X3","X4","X5"
139127,1533030,"AFC BUILDING TECHNOLOGIES INC.","10-Q","2018-01-22","edgar/data/1533030/0001062993-18-000275.txt","edgar/data/1533030/0001062993-18-000275-index.html"
139128,1533030,"AFC BUILDING TECHNOLOGIES INC.","10-Q","2018-01-22","edgar/data/1533030/0001062993-18-000276.txt","edgar/data/1533030/0001062993-18-000276-index.html"
139129,1533030,"AFC BUILDING TECHNOLOGIES INC.","10-Q","2018-01-22","edgar/data/1533030/0001062993-18-000277.txt","edgar/data/1533030/0001062993-18-000277-index.html"
139204,1533357,"DEFENSE TECHNOLOGIES INTERNATIONAL CORP.","10-Q","2018-03-13","edgar/data/1533357/0001096906-18-000134.txt","edgar/data/1533357/0001096906-18-000134-index.html"
139216,1533427,"Pazoo, Inc.","10-Q","2018-02-07","edgar/data/1533427/0001127855-18-000006.txt","edgar/data/1533427/0001127855-18-000006-index.html"
140087,1535635,"Service Team Inc.","10-Q","2018-01-19","edgar/data/1535635/0001079973-18-000043.txt","edgar/data/1535635/0001079973-18-000043-index.html"
140115,15357,"CHASE GENERAL CORP","10-Q","2018-02-12","edgar/data/15357/0001144204-18-007185.txt","edgar/data/15357/0001144204-18-007185-index.html"
140615,1537258,"AIRBORNE WIRELESS NETWORK","10-Q","2018-01-09","edgar/data/1537258/0001640334-18-000052.txt","edgar/data/1537258/0001640334-18-000052-index.html"
140730,1537561,"Arch Therapeutics, Inc.","10-Q","2018-02-01","edgar/data/1537561/0001144204-18-005155.txt","edgar/data/1537561/0001144204-18-005155-index.html"
140826,1537917,"TYME TECHNOLOGIES, INC.","10-Q","2018-02-07","edgar/data/1537917/0001193125-18-034069.txt","edgar/data/1537917/0001193125-18-034069-index.html"
140887,1538263,"HomeTrust Bancshares, Inc.","10-Q","2018-02-09","edgar/data/1538263/0001538263-18-000011.txt","edgar/data/1538263/0001538263-18-000011-index.html"
141277,1539680,"HAMMER FIBER OPTICS HOLDINGS CORP","10-Q","2018-03-26","edgar/data/1539680/0001078782-18-000338.txt","edgar/data/1539680/0001078782-18-000338-index.html"
141290,1539778,"Velt International Group Inc.","10-Q","2018-02-12","edgar/data/1539778/0001213900-18-001587.txt","edgar/data/1539778/0001213900-18-001587-index.html"
141377,1539892,"COMMITTED CAPITAL ACQUISITION Corp II","10-Q","2018-01-19","edgar/data/1539892/0001615774-18-000433.txt","edgar/data/1539892/0001615774-18-000433-index.html"
141465,1540159,"Stellar Biotechnologies, Inc.","10-Q","2018-02-07","edgar/data/1540159/0001144204-18-006323.txt","edgar/data/1540159/0001144204-18-006323-index.html"
142630,1543066,"E-WASTE CORP.","10-Q","2018-01-16","edgar/data/1543066/0001161697-18-000048.txt","edgar/data/1543066/0001161697-18-000048-index.html"
143006,1544400,"American Oil & Gas Inc.","10-Q","2018-02-08","edgar/data/1544400/0001165527-18-000023.txt","edgar/data/1544400/0001165527-18-000023-index.html"
143112,1544861,"Nostalgia Family Brands, Inc.","10-Q","2018-01-26","edgar/data/1544861/0001477932-18-000511.txt","edgar/data/1544861/0001477932-18-000511-index.html"
143113,1544861,"Nostalgia Family Brands, Inc.","10-Q","2018-03-23","edgar/data/1544861/0001477932-18-001431.txt","edgar/data/1544861/0001477932-18-001431-index.html"
143114,1544861,"Nostalgia Family Brands, Inc.","10-Q","2018-03-23","edgar/data/1544861/0001477932-18-001433.txt","edgar/data/1544861/0001477932-18-001433-index.html"
143115,1544861,"Nostalgia Family Brands, Inc.","10-Q","2018-03-23","edgar/data/1544861/0001477932-18-001435.txt","edgar/data/1544861/0001477932-18-001435-index.html"
143191,1545232,"Aim Exploration Inc.","10-Q","2018-01-22","edgar/data/1545232/0001663577-18-000037.txt","edgar/data/1545232/0001663577-18-000037-index.html"
143207,1545312,"GMCI Corp.","10-Q","2018-01-09","edgar/data/1545312/0001594062-18-000003.txt","edgar/data/1545312/0001594062-18-000003-index.html"
143469,1546392,"Gawk Inc.","10-Q","2018-02-02","edgar/data/1546392/0001640334-18-000224.txt","edgar/data/1546392/0001640334-18-000224-index.html"
143470,1546392,"Gawk Inc.","10-Q","2018-03-14","edgar/data/1546392/0001640334-18-000457.txt","edgar/data/1546392/0001640334-18-000457-index.html"
143471,1546392,"Gawk Inc.","10-Q","2018-03-14","edgar/data/1546392/0001640334-18-000459.txt","edgar/data/1546392/0001640334-18-000459-index.html"
143579,1546679,"MOBETIZE, CORP.","10-Q","2018-02-12","edgar/data/1546679/0001607062-18-000055.txt","edgar/data/1546679/0001607062-18-000055-index.html"
143603,1546853,"Skkynet Cloud Systems, Inc.","10-Q","2018-03-15","edgar/data/1546853/0001477932-18-001319.txt","edgar/data/1546853/0001477932-18-001319-index.html"
143724,1547459,"Natural Grocers by Vitamin Cottage, Inc.","10-Q","2018-02-01","edgar/data/1547459/0001437749-18-001480.txt","edgar/data/1547459/0001437749-18-001480-index.html"
144505,1550053,"Grand Perfecta, Inc.","10-Q","2018-03-14","edgar/data/1550053/0001683168-18-000666.txt","edgar/data/1550053/0001683168-18-000666-index.html"
144673,1550518,"Cantabio Pharmaceuticals Inc.","10-Q","2018-02-20","edgar/data/1550518/0001654954-18-001710.txt","edgar/data/1550518/0001654954-18-001710-index.html"
144689,1550603,"MALVERN BANCORP, INC.","10-Q","2018-02-09","edgar/data/1550603/0001615774-18-000996.txt","edgar/data/1550603/0001615774-18-000996-index.html"
144759,1550737,"Sector 5, Inc.","10-Q","2018-02-15","edgar/data/1550737/0001477932-18-000873.txt","edgar/data/1550737/0001477932-18-000873-index.html"
144760,1550737,"Sector 5, Inc.","10-Q","2018-02-15","edgar/data/1550737/0001477932-18-000875.txt","edgar/data/1550737/0001477932-18-000875-index.html"
144761,1550737,"Sector 5, Inc.","10-Q","2018-02-15","edgar/data/1550737/0001477932-18-000877.txt","edgar/data/1550737/0001477932-18-000877-index.html"
144779,1550913,"MacKenzie Realty Capital, Inc.","10-Q","2018-02-14","edgar/data/1550913/0001550913-18-000010.txt","edgar/data/1550913/0001550913-18-000010-index.html"
145128,1551739,"Hamilton Bancorp, Inc.","10-Q","2018-02-14","edgar/data/1551739/0001437749-18-002592.txt","edgar/data/1551739/0001437749-18-002592-index.html"
145161,1551887,"VGRAB COMMUNICATIONS INC.","10-Q","2018-03-16","edgar/data/1551887/0001393905-18-000103.txt","edgar/data/1551887/0001393905-18-000103-index.html"
145350,1552164,"AVRA INC.","10-Q","2018-02-21","edgar/data/1552164/0001552164-18-000005.txt","edgar/data/1552164/0001552164-18-000005-index.html"
145834,1553404,"Pacific Green Technologies Inc.","10-Q","2018-02-20","edgar/data/1553404/0001213900-18-002046.txt","edgar/data/1553404/0001213900-18-002046-index.html"
145870,1553643,"RELMADA THERAPEUTICS, INC.","10-Q","2018-02-12","edgar/data/1553643/0001213900-18-001597.txt","edgar/data/1553643/0001213900-18-001597-index.html"
145889,1553734,"Environmental Packaging Technologies Holdings, Inc.","10-Q","2018-03-16","edgar/data/1553734/0001654954-18-002666.txt","edgar/data/1553734/0001654954-18-002666-index.html"
145890,1553734,"Environmental Packaging Technologies Holdings, Inc.","10-Q","2018-03-16","edgar/data/1553734/0001654954-18-002668.txt","edgar/data/1553734/0001654954-18-002668-index.html"
146494,1556148,"Infor, Inc.","10-Q","2018-03-19","edgar/data/1556148/0001193125-18-086166.txt","edgar/data/1556148/0001193125-18-086166-index.html"
146758,1556801,"DIAMANTE MINERALS, INC.","10-Q","2018-03-02","edgar/data/1556801/0001640334-18-000416.txt","edgar/data/1556801/0001640334-18-000416-index.html"
